vacancy_id,title,company_name,total_quota,show_quota,stream_id,stream_name,employment_status,selected_job,is_saved,experience_level,total_applied
24A6C7C6638B9CD5418805BEBFFCC3F6805EC3E4B4CD9CE499DAAFEFB14A4A45DC6B3B63E143E1AD1965492B5BC19115,S1 - Non Raillway Assets Staff,PT Kereta Api Indonesia (Persero),8000,1,907020F1602638B8BB320EF129E955EFCE97282E9F1465582A532B521A5DFF5EBBD44B1B925F18ECF8350E7E7C5DC258,Logistic / Supply Chain / Asset / GA,Pegawai Tetap,False,False,Fresh Graduate,486
FD9FED0500F2319AAAE63E4D9E142905C5E91E447797BD8F4916DE815CE24809BCABE7E94ADE8DFD4AE458923A32C75F,S1 - Rollingstock Technician,PT Kereta Api Indonesia (Persero),25000,1,651D3B34B5366E0E5EF4831762092408AF141F7FA0BCA1F26FB4E405A21E4977102FD86259B7C3A4B46E3478818BC361,Operasi / Produksi / Proyek,Pegawai Tetap,False,False,Fresh Graduate,1011
38F23F497ED4D3A97276E62CE43A9428544F64C735F5F0086D663CB02704CF05FD715E7AF802F26B9E8743BAF44FAA9F,S1 - Assistant PPKA,PT Kereta Api Indonesia (Persero),40000,1,651D3B34B5366E0E5EF4831762092408AF141F7FA0BCA1F26FB4E405A21E4977102FD86259B7C3A4B46E3478818BC361,Operasi / Produksi / Proyek,Pegawai Tetap,False,False,Fresh Graduate,653
4ABB695795A3EA05B427794E710309803C74CFB9248182B3C5B17D2135D9989E3CD662C99F4EA449CA3FE8B697D7E308,S1 - Operation Non Crew Staff,PT Kereta Api Indonesia (Persero),1000,1,651D3B34B5366E0E5EF4831762092408AF141F7FA0BCA1F26FB4E405A21E4977102FD86259B7C3A4B46E3478818BC361,Operasi / Produksi / Proyek,Pegawai Tetap,False,False,Fresh Graduate,343
3C7D74708002E13B4F6C5F26231ADA8E6A3E8818B4D20CD6CC93D2A5390106010DC4B940A3937DDEF89065BEDC2E8AA1,S1 - Non Transport Commercialization Staff,PT Kereta Api Indonesia (Persero),3000,1,78A5FB755A30EEBC7C4120CA2EC665FCBDF257265E0D77A54DFFB0A739B5396FC2136D3B07C4F2675FCC4E0DE5DB032C,Bisnis Niaga / Pemasaran,Pegawai Tetap,False,False,Fresh Graduate,199
1D732C0C94084B81F995890AF95901EE74701C6533F8D93EF47C8B8400E0A904C883B6BF13B59213C9EE9506B43FF961,S1 - Passenger Transport Marketing Staff,PT Kereta Api Indonesia (Persero),2000,1,78A5FB755A30EEBC7C4120CA2EC665FCBDF257265E0D77A54DFFB0A739B5396FC2136D3B07C4F2675FCC4E0DE5DB032C,Bisnis Niaga / Pemasaran,Pegawai Tetap,False,False,Fresh Graduate,302
077C9692DE7EF4E002AA31534FA3B1033AF55CD7C17FFC5D76CBFE68453D8C1522F89E1831F05A2EC88E589BD8EC6FD6,Pengelola Pendanaan,PT Len Industri (Persero) - PT PAL Indonesia,2000,1,C85AA465FC0DBD6CE7F976D0F659E7626287BAA8FB2D5579CEB2EA97E3899E1E083391353E5A4F601A888E9E03FEA023,Treasury,Pegawai Kontrak,False,False,Experienced Hire,160
77DE5663A7216E48DBE833390BACD8D85A9CE4BFCA50DD72E954C5E1F7D7B4E83F215EA221D040D9E1C767BB2FA85043,Bimbingan Profesi Sarjana (BPS) - Sales dan Marketing,PT Pertamina (Persero) - PT Pertamina Lubricants,4000,1,78A5FB755A30EEBC7C4120CA2EC665FCBDF257265E0D77A54DFFB0A739B5396FC2136D3B07C4F2675FCC4E0DE5DB032C,Bisnis Niaga / Pemasaran,Pegawai Tetap,False,False,Fresh Graduate,4000
0C41ECCC9A4F0752C59612711223842C974EA9CE5390C02E6B837CECAF450791322A107044C93396D9F6FF7B160DA6E2,Associate Officer Pengawasan,PT Pupuk Indonesia (Persero),2000,1,09DE941CFA97F5B366F3870429D506F8A650266D454D97691E026C5CCE07D766A44138C882D679AA397C24B8FB330F52,Internal Audit,Pegawai Kontrak,False,False,Fresh Graduate,178
16A8CA0EC777B1873D55584304843335BB88DE89CC80ECD434B151DC37DFE6381137165004C179211929D230FE7CE4F4,Associate Officer Optimasi Rantai Pasok,PT Pupuk Indonesia (Persero),1000,1,907020F1602638B8BB320EF129E955EFCE97282E9F1465582A532B521A5DFF5EBBD44B1B925F18ECF8350E7E7C5DC258,Logistic / Supply Chain / Asset / GA,Pegawai Kontrak,False,False,Fresh Graduate,27
DDFE12B5F2AD7021E6025DFE225FFB1B90DF13240654FC524E9BFDA5811E13F4F1A65C2B8066E383AA8D3CC19B81DB02,Associate Officer Sinerji Pemeliharaan,PT Pupuk Indonesia (Persero),1000,1,651D3B34B5366E0E5EF4831762092408AF141F7FA0BCA1F26FB4E405A21E4977102FD86259B7C3A4B46E3478818BC361,Operasi / Produksi / Proyek,Pegawai Kontrak,False,False,Fresh Graduate,465
D37D0CECED72A9B610D53D70CB24182CA32029639F080752FE926B2E094F69AD36DA9F5D87F59D5147EE8836A413D878,Associate Officer Digitalisasi Distribusi,PT Pupuk Indonesia (Persero),1000,1,907020F1602638B8BB320EF129E955EFCE97282E9F1465582A532B521A5DFF5EBBD44B1B925F18ECF8350E7E7C5DC258,Logistic / Supply Chain / Asset / GA,Pegawai Kontrak,False,False,Fresh Graduate,14
5306826814432C68138FB5F23FC400B6EDDF571180B755C9FAA33757FB7AAFE2B02E3A57945DFA13E8DE1633C1AC4E1E,Associate Officer Pengembangan Usaha,PT Pupuk Indonesia (Persero),1000,1,221CA9A6DB201C4D39D5553C8D19B6ED586B19D553C5B97FEDEDDF2705C74F6543C4DF349779258EDFC7B7346C03EA24,Pengembangan Usaha / R & D,Pegawai Kontrak,False,False,Fresh Graduate,7
D92525ACC7F89D2A73DEC58BA08B5F6C9F5E1C5BEDE732B0AFCE4875D5703B28322A3F151F2446C900897860044D1C69,Associate Officer Teknologi Informasi,PT Pupuk Indonesia (Persero),1000,1,CF92D65249E924012A342BBC73114AB35CF81F698F9C96C30E0249E4B453F81B3168022D9DA680DDD166AB388D0416F1,Digitalisasi & IT,Pegawai Kontrak,False,False,Fresh Graduate,616
0D3213CFB11C0FD9BBC755B4B64EDD18C3905B66E3C235907D44E7C25A35C5E60F292FE2859483155737884CFC4219C6,Associate Officer Clean Ammonia dan Sustainability,PT Pupuk Indonesia (Persero),1000,1,E11206F9FC9321C2453FA02BC6C4E7C360B3DBC16922267CA344CE2CE69191F1FFFF5AB3531C363007D697BAACD8E22E,Strategic Planning,Pegawai Kontrak,False,False,Fresh Graduate,456
1D5589C2D3930E68D34D07AAF87D3EB30B0383A2063CAFC76356CE615094C87A95B3B941286560933920F74A259C17F7,Associate Officer Manajemen Risiko,PT Pupuk Indonesia (Persero),2000,1,2642D515ED859AD4CDC2E26AED97E73D4C1BE0EE16BD60DA6674044D6B9B3D4EEB920A0D20B287E3D675F95A2261FD50,Risk Management,Pegawai Kontrak,False,False,Fresh Graduate,16
6CD702C0F9D6CD9135B94526320CF935BB96D0A3575A137023B71BE51F78F267C6DDC4464FDB0271EABC275DCD2485D8,Project Engineer Refinery,PT Pertamina (Persero) - PT Pertamina Rosneft Pengolahan dan Petrokimia,1000,1,20A83C4A9A636EA8BED36CF993C8AE8B2200D6EFBEA42A748814D05011CB5871C88DA758B221425D992E34F176F3A4A1,Engineering & Maintenance,Pegawai Kontrak,False,False,Experienced Hire,697
7EBFCD118CAEB3B2A2D3E41194A044D81C217E47EEBE282BDCE5152EA7D942F34B01DC3C1C6E1B0CADBF078DFCD5A149,Engineer Project Scheduling,PT Pertamina (Persero) - PT Pertamina Rosneft Pengolahan dan Petrokimia,1000,1,20A83C4A9A636EA8BED36CF993C8AE8B2200D6EFBEA42A748814D05011CB5871C88DA758B221425D992E34F176F3A4A1,Engineering & Maintenance,Pegawai Kontrak,False,False,Experienced Hire,652
